_uid_,id,state,county,month,day,hour,minute,ve_forms,persons,peds,nhs,road_fnc,route,sp_jur,harm_ev,man_coll,rel_road,lgt_cond,weather,not_hour,not_min,arr_hour,arr_min,hosp_hr,hosp_mn,sch_bus,cf1,cf2,cf3,fatals,day_week,drunk_dr,st_case,city,milept,year,tway_id,tway_id2,rail,latitude,longitud,road_fnc_1,streetid
290,22,42,101,4,13,13,0,2,2,0,0,16,6,0,12,4,4,1,2,13,1,13,10,13,35,0,0,0,0,1,3,0,420207,6540,0.000000000000000,2004,EMERSON ST,HOFFNAGLE ST,0000000,40.063447220000000,-75.048897220000001,16,38956
103,23,42,101,5,7,10,5,1,2,1,1,11,1,0,8,0,1,9,1,99,99,99,99,0,0,0,0,0,0,1,6,0,420208,6540,212.000000000000000,2004,I-95,99999999999999999999,0000000,39.948044439999997,-75.141661110000001,11,24972
672,24,42,101,5,2,19,40,1,2,1,0,16,6,0,8,0,1,1,1,19,41,19,44,20,2,0,0,0,0,1,1,0,420197,6540,0.000000000000000,2004,WESTFORD RD,99999999999999999999,0000000,40.029680560000003,-75.116158330000005,16,34656
780,25,42,101,5,15,10,48,1,2,1,0,13,3,0,8,0,1,1,1,10,49,10,58,11,3,0,0,0,0,1,7,1,420198,6540,11.000000000000000,2004,SR-1004,NINTH ST,0000000,40.008163889999999,-75.142766670000000,13,15794
2,26,42,101,5,13,2,36,2,2,0,0,16,6,0,12,4,1,3,1,2,39,2,44,0,0,0,0,0,0,1,5,0,420199,6540,0.000000000000000,2004,LINCOLN DR,99999999999999999999,0000000,40.024005559999999,-75.195744439999999,16,40055
603,27,42,101,5,23,1,12,1,2,1,0,15,3,0,8,0,1,3,1,1,13,1,19,1,34,0,0,0,0,1,1,1,420200,6540,18.000000000000000,2004,SR-3017,RACE ST,0000000,39.963108329999997,-75.224275000000006,15,34111
291,28,42,101,4,11,23,35,1,2,1,1,13,2,0,8,0,1,3,1,99,99,99,99,99,99,0,0,0,0,1,1,0,420211,6540,119.000000000000000,2004,US-1,99999999999999999999,0000000,40.040727779999997,-75.058088889999993,13,31292
292,29,42,101,2,16,0,59,1,1,0,0,16,6,0,33,0,4,3,1,1,1,1,6,0,0,0,0,0,0,1,2,0,420214,6540,0.000000000000000,2004,WORTH ST,CHURCH ST,0000000,40.008011109999998,-75.083327780000005,16,8771
673,30,42,101,6,18,14,10,1,3,1,0,16,6,0,8,0,2,1,1,14,13,14,17,14,20,0,0,0,0,1,6,0,420281,6540,0.000000000000000,2004,HAZZARD ST,99999999999999999999,0000000,39.983233329999997,-75.123344439999997,16,21134
781,31,42,101,6,1,22,30,1,2,1,0,16,6,0,9,0,1,3,1,22,7,22,12,22,24,0,0,0,0,1,3,0,420282,6540,0.000000000000000,2004,EIGHTEENTH ST,SUSQUEHANNA AV,0000000,39.987177780000003,-75.162599999999998,16,4040
782,32,42,101,5,1,22,54,2,2,0,1,13,3,0,12,5,1,3,1,22,56,23,1,23,4,0,0,0,0,1,7,0,420301,6540,35.000000000000000,2004,SR-611,99999999999999999999,0000000,39.986849999999997,-75.156088890000007,13,4933
509,33,42,101,6,6,2,46,1,1,0,0,99,3,0,33,0,6,3,2,2,47,2,53,3,13,0,0,0,0,1,1,1,420302,6540,2.000000000000000,2004,SR-8007,99999999999999999999,0000000,39.926194440000003,-75.144972220000000,99,35606
783,34,42,101,4,10,23,42,2,6,0,0,16,6,0,12,5,1,3,1,23,44,23,48,0,10,0,0,0,0,1,7,1,420280,6540,0.000000000000000,2004,SECOND ST,CECIL B MOORE AV,0000000,39.976233329999999,-75.138130559999993,16,20672
195,35,42,101,5,6,1,44,1,1,0,1,13,2,0,33,0,3,3,1,1,43,1,50,2,2,0,0,0,0,1,5,0,420338,6540,171.000000000000000,2004,US-1,99999999999999999999,0000000,40.101383329999997,-75.006930560000001,13,18406
604,36,42,101,6,22,1,34,2,7,0,1,13,3,0,12,3,1,3,1,1,31,1,35,1,53,0,0,0,0,1,3,0,420409,6540,213.000000000000000,2004,SR-3,SR-3017,0000000,39.958475000000000,-75.225197219999998,13,33908
196,37,42,101,6,28,14,25,1,1,0,0,16,6,0,42,0,6,1,1,14,34,14,39,15,15,0,0,0,0,1,2,0,420405,6540,0.000000000000000,2004,SANDMEYER LN,99999999999999999999,0000000,40.112969440000001,-75.033752780000000,16,37593
605,38,42,101,6,20,1,28,1,1,0,0,16,6,0,42,0,6,3,1,1,22,1,30,2,10,0,0,0,0,1,1,1,420406,6540,0.000000000000000,2004,CATHEDRAL RD,99999999999999999999,0000000,40.067161110000001,-75.226166669999998,16,6978
293,39,42,101,6,24,1,26,1,1,0,1,13,2,0,33,0,4,3,1,1,26,1,31,1,52,0,0,0,0,1,5,1,420407,6540,104.000000000000000,2004,US-1,99999999999999999999,0000000,40.031730560000000,-75.084041670000005,13,22467
104,40,42,101,6,10,16,20,1,2,1,0,16,6,0,8,0,1,1,1,16,19,16,24,16,56,0,0,0,0,1,5,0,420408,6540,0.000000000000000,2004,SPRUCE ST,99999999999999999999,0000000,39.944794440000003,-75.147566670000003,16,36353
105,41,42,101,1,16,6,18,2,2,0,1,11,1,0,12,8,1,2,1,99,99,99,99,99,99,0,0,0,0,1,6,0,420433,6540,16.000000000000000,2004,I-676,99999999999999999999,0000000,39.956997219999998,-75.152413890000005,11,19378
674,42,42,101,8,18,15,30,2,5,0,0,16,6,0,12,4,1,1,1,15,33,15,38,15,51,0,0,0,0,1,4,0,420525,6540,0.000000000000000,2004,THAYER ST,EMERALD ST,0000000,39.996375000000000,-75.107219439999994,16,15056
474,43,42,101,8,2,23,14,1,2,0,0,13,3,0,30,0,6,3,1,23,11,23,16,23,41,0,0,0,0,1,2,0,420526,6540,29.000000000000000,2004,SR-4002,99999999999999999999,0000000,40.061063890000000,-75.168122220000001,13,38863
510,44,42,101,4,16,12,50,1,1,0,0,99,3,0,25,0,3,1,1,99,99,99,99,99,99,0,0,0,0,1,6,0,420588,6540,10.000000000000000,2004,SR-8003,99999999999999999999,0000000,39.911011109999997,-75.148580559999999,99,18355
3,45,42,101,7,12,21,54,1,1,0,0,16,6,0,42,0,6,3,2,21,51,21,59,22,24,0,0,0,0,1,2,0,420618,6540,0.000000000000000,2004,LINCOLN DR,99999999999999999999,0000000,40.035077780000002,-75.188491670000005,16,25919
294,46,42,101,7,31,4,25,2,6,0,0,14,3,0,12,2,1,3,1,4,25,4,36,5,2,0,0,0,0,1,7,1,420619,6540,53.000000000000000,2004,SR-1004,99999999999999999999,0000000,40.014105559999997,-75.066000000000003,14,9052
106,47,42,101,7,19,20,43,2,3,0,0,16,6,0,12,5,1,3,1,20,36,20,44,20,54,0,0,0,0,1,2,0,420620,6540,0.000000000000000,2004,GRAYS FERRY AV,THIRTYFIRST ST,0000000,39.939102779999999,-75.194891670000004,16,2130
606,48,42,101,7,5,16,4,1,2,1,0,16,6,0,8,0,1,1,1,16,2,16,6,16,27,0,0,0,0,1,2,0,420621,6540,0.000000000000000,2004,SIXTYFIRST ST,99999999999999999999,0000000,39.963352780000001,-75.242516670000001,16,34441
